title,abs_journal,status
Monitoring and Evaluating Astronomy-for-Development Initiatives,arXiv e-prints,success
Constrained Brownian-bridge prior for neutron-star equation-of-state inference,arXiv e-prints,success
GW231123: A Case for Binary Microlensing in a Strong Lensing Field,arXiv e-prints,success
Are Primordial Black Holes Truly Fine-Tuned?,arXiv e-prints,success
SN 2025ogs: A Spectroscopically-Normal Type Ia Supernova at z = 2 as a Benchmark for Redshift Evolution,arXiv e-prints,success
Observational constraints on early time non-phantom behaviour of dynamical dark energy,arXiv e-prints,success
Decay of $f(R)$ quintessence into dark matter: mitigating the Hubble tension?,arXiv e-prints,success
A Spectrum of Cosmological Rips and Their Observational Signatures,arXiv e-prints,success
Episodic planetesimal disruptions triggered by dissipation of gas disk,arXiv e-prints,success
Comprehensive study of solar type II radio bursts and the properties of the associated shock waves,arXiv e-prints,success
"TITAN DR1: An Improved, Validated, and Systematically-Controlled Recalibration of ATLAS Photometry toward Type Ia Supernova Cosmology",arXiv e-prints,success
Searching for Cosmological Collider in the Planck CMB Data II: collider templates and Modal analysis,arXiv e-prints,success
Searching for Periodicity in FRB 20240114A,arXiv e-prints,success
