title,lines
Can a multi-tracer approach improve the constraints on the turnover scale?,[]
First large scale spatial and velocity patterns of local metal-rich stars in the Milky Way,[]
A Stellar Magnesium to Silicon ratio in the atmosphere of an exoplanet,[]
Photometric and spectroscopic variability of blue supergiant \r{ho} Leo,[]
Homogeneous measurements of proximity zone sizes for 59 quasars in the Epoch of Reionization,"['$^{1}$Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands\\\\', '$^{1}$Leiden Observatory, Leiden University, P.O. Box 9513, 2300 RA Leiden, The Netherlands\\\\', '$^{2}$Department of Physics, Broida Hall, University of California, Santa Barbara, Santa Barbara, CA 93106-9530, USA\\\\', '$^{3}$MIT Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA']"
The COSMOS-Web Lens Survey (COWLS) III: forecasts versus data,"['The forecasting tool we use is the Python package \\lenspop, which was used to forecast strong lens abundances and guide observing strategies for surveys such as \\textit{Euclid} and LSST \\citep{Collett:2015roa, Mellier2024}. The package was shown to correctly predict the number of strong lenses found in the Strong Lensing Legacy Survey (SL2S; \\citealt{Cabanac2007}), along with the distribution of their Einstein radii, validating the forecasting procedure. The package has since been used to forecast the strong lensing abundance for other forthcoming surveys, such as the \\textit{Nancy Grace Roman} Space Telescope \\citep{Weiner2020} and the \\textit{China} Space Station Telescope \\citep{Cao:2023bnl}, as well as the abundance of strongly lensed supernovae in LSST observations \\citep{Sainz2024}.']"
JWST observations of segregated $^{12}$CO$_2$ and $^{13}$CO$_2$ ices in protostellar envelopes,"['\\newcommand{\\pnas}{Proc. Natl Acad. Sci. USA}', '{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\affiliation[Institute for Astronomy, University of Hawai’i at Manoa]{Institute for Astronomy, University of Hawai’i at Manoa 2680 Woodlawn Drive, Honolulu, HI 96822, USA}', '\\alsoaffiliation[Leiden University]{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\alsoaffiliation[Leiden University]{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\affiliation[Max-Planck-Institut]{Max-Planck-Institut f\\""{u}r Extraterrestrische Physik, Gie{\\ss}enbachstra{\\ss}e 1, 85748 Garching, Germany}', '\\affiliation[University of Texas]{Department of Astronomy, The University of Texas at Austin, 2515 Speedway, Stop C1400, Austin, Texas 78712-1205, USA}', '\\affiliation[NV5 Geospatial Solutions]{NV5 Geospatial Solutions, Inc. 385 Interlocken Crescent, Suite 300 Broomfield, CO 80021, USA}', '\\affiliation[Leiden University]{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\affiliation[Leiden University]{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\affiliation[Leiden University]{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\affiliation[Leiden University]{Leiden Observatory, 2300 RA Leiden, The Netherlands}', '\\affiliation[eso]{European Southern Observatory, Karl-Schwarzschild-Strasse 2, 85748 Garching bei München, Germany 510}', '4 Homi Bhabha Road, Colaba, Mumbai 400005, India}', '4 Homi Bhabha Road, Colaba, Mumbai 400005, India}', '\\affiliation[Astronomy Technology Centre]{United Kingdom Astronomy Technology Centre, Edinburgh, Blackford Hill, Edinburgh, EH9 3HJ, United Kingdom}', '\\affiliation[RIKEN]{RIKEN Cluster for Pioneering Research, Wakoshi, Saitama, 351-0106, Japan}', '\\affiliation[Maynooth University]{Department of Experimental Physics, Maynooth University, Maynooth, Co. Kildare W23 F2H6, Ireland}', '\\affiliation[University of Toledo]{Department of Physics and Astronomy, The University of Toledo, 2801 West Bancroft Street, Toledo, OH 43606, USA}', '\\affiliation[JPL]{Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA}']"
A direct black hole mass measurement in a Little Red Dot at the Epoch of Reionization,[]
Roman coronagraph simulations of exozodi observations in the presence of wavefront errors,[]
Why the northern hemisphere needs a 30-40 m telescope and the science at stake: Massive stars in spiral galaxies,[]
