title,abs_journal,status
A Study of Subsurface Convection Zones of Fast Rotating Massive Stars,Research in Astronomy and Astrophysics,success
Fast Bayesian spectral analysis using Convolutional Neural Networks: Applications over GONG H$\alpha$ solar data,Astronomy and Astrophysics,success
The outer structure of old star clusters in the Small Magellanic Cloud,Monthly Notices of the Royal Astronomical Society,success
DASCH: Bringing 100+ Years of Photographic Data into the 21st Century and Beyond,arXiv e-prints,success
A Denser Hydrogen Inferred from First-Principles Simulations Challenges Jupiter's Interior Models,arXiv e-prints,success
Dust production through collisions between small bodies: an application to the G-ring arc,Philosophical Transactions of the Royal Society of London Series A,success
Electric field reconstruction with three polarizations for the radio detection of ultra-high energy particles,Journal of Cosmology and Astroparticle Physics,success
Effect of gas accretion on $\alpha$-element bimodality in Milky Way-mass galaxies in the FIRE-2 simulations,Monthly Notices of the Royal Astronomical Society,success
Gravitational waves and primordial black holes from the T-model inflation with Gauss-Bonnet correction,arXiv e-prints,success
"Modelling polarized X-ray pulses from accreting millisecond pulsars with X-PSI, using different surface patterns",Monthly Notices of the Royal Astronomical Society,success
"DarkAI: Reconstructing the density, velocity and tidal field of dark matter from DESI-like bright galaxy sample",The Astrophysical Journal Supplement Series,success
Ripples spreading across the Galactic disc: Interplay of direct and indirect effects of the Sagittarius dwarf impact,Astronomy and Astrophysics,success
The AGN Optical Variability Fundamental Plane,arXiv e-prints,success
Study of the IC 443 region with the HAWC observatory,The Astrophysical Journal,success
Constraining Proper Motion of Strongly Lensed Eccentric Binary Mergers using Doppler Triangulation,arXiv e-prints,success
Revisiting the fundamental parameters for the black hole X-ray transient Swift J1753.5-0127,Astronomy and Astrophysics,success
Synthetic Modelling of Polarized Dust Emission in Intermediate-Mass YSOs: II: Effects of Radiative Torque Disruption on Dust Grains in Protostellar Jets/Outflows,arXiv e-prints,success
The rate of extreme coronal line emitters in the Baryon Oscillation Spectroscopic Survey LOWZ sample,Monthly Notices of the Royal Astronomical Society,success
The Three Hundred Project hydrodynamical simulations: Hydrodynamical Weak-Lensing Cluster Mass Biases and Richnesses using different hydro models,Astronomy and Astrophysics,success
HD 206893 B at High Spectral Resolution with the Keck Planet Imager and Characterizer (KPIC),The Astronomical Journal,success
Dust characterization of protoplanetary disks: a guide to multi-wavelength analyses and accurate dust mass measurements,Astronomy and Astrophysics,success
Cold dark gas in Cygnus X: The first large-scale mapping of low-frequency carbon recombination lines,The Astrophysical Journal,success
"Inflaton Self Resonance, Oscillons, and Gravitational Waves in Small Field Polynomial Inflation",Journal of Cosmology and Astroparticle Physics,success
Can $\nu$DM interactions solve the $S_8$ discrepancy?,arXiv e-prints,success
"Luminous Mid-IR Selected Type-2 Quasars at Cosmic Noon in SDSS Stripe82 I: Selection, Composite Photometry, and Spectral Energy Distributions",Monthly Notices of the Royal Astronomical Society,success
JWST 1.5 {\mu}m and 4.8 {\mu}m Photometry of Y Dwarfs,The Astronomical Journal,success
Discovery of A Starburst in the Early Milky Way at [Fe/H] $< -2$,arXiv e-prints,success
Probing the Limits of Habitability: A Catalog of Rocky Exoplanets in the Habitable Zone,arXiv e-prints,success
Using simulation based inference on tidally perturbed dwarf galaxies: the dynamics of NGC205,The Astrophysical Journal,success
Formation of Giant Planets,arXiv e-prints,success
Formation of Giant Planets,arXiv e-prints,success
Properties of Free Floating Planets Ejected through Planet-Planet Scattering,The Astrophysical Journal,success
COOL Research DAO Whitepaper -- Towards community-owned astrophysics for everyone,arXiv e-prints,success
Time-Dependent Radiation Transport Simulations of Infrared Echoes from Dust-Shrouded Luminous Transients,The Astrophysical Journal,success
Implications of Magnetic Flux-Disk Mass Correlation in Black Hole-Neutron Star Mergers for GRB sub-populations,Physical Review D,success
Estimating the Poynting flux of Alfv\'enic waves in polar coronal holes across Solar Cycle 24,The Astrophysical Journal,success
Thermodynamics and collisionality in firehose-susceptible high-$\beta$ plasmas,Journal of Plasma Physics,success
A Fast and Accurate Implementation of the Effective Fluid Approximation for Ultralight Axions,Physical Review D,success
A search for close binary systems in the SALT survey of hydrogen-deficient stars using {\it TESS},Monthly Notices of the Royal Astronomical Society,success
Transit-timing variations in the AU Mic system observed with CHEOPS,Astronomy and Astrophysics,success
Detection of Intermediate-Mass Ratio Inspirals in Globular Clusters: Revealing the Brownian Motion with Gravitational Waves,The Astrophysical Journal,success
A flaring radio counterpart to a fast radio burst reveals a newborn magnetized engine,arXiv e-prints,success
The promise of deep-stacking for neutrino astronomy,Journal of Cosmology and Astroparticle Physics,success
Thermal Conduction and Thermal-Driven Winds in Magnetized Viscous Accretion Disk Dynamics,New Astronomy,success
Variabilities driven by satellite black hole migration in AGN discs,The Astrophysical Journal,success
ELLIPSECT: A surface brightness analysis tool for GALFIT 3,arXiv e-prints,success
The role of dry mergers in shaping the scaling relations of galaxies,Astronomy and Astrophysics,success
Discovery and Multi-Wavelength Analysis of a New Dissociative Galaxy Merger: The Champagne Cluster,The Astrophysical Journal,success
Intensity Interferometer Results on Sirius with 0.25 m Telescopes,Monthly Notices of the Royal Astronomical Society,success
Near-circular orbits for planets around M/K-type stars with Earth-like sizes and instellations,Nature Astronomy,success
REBELS-IFU: Evidence for metal-rich massive galaxies at z~6-8,arXiv e-prints,success
Gamma-ray burst prompt emission spectra at high energies,Astronomy and Astrophysics,success
Searching for substellar companion candidates with Gaia. III. Search for companions to members of young associations,arXiv e-prints,success
Enhancing the Reliability in Machine Learning for Gravitational Wave Parameter Estimation with Attention-Based Models,Physical Review D,success
Chern-Simons gravitational term coupled to an isocurvature field,arXiv e-prints,success
An Intermediate-mass Black Hole Lurking in A Galactic Halo Caught Alive during Outburst,arXiv e-prints,success
WALLABY Pilot Survey & ASymba: Comparing HI Detection Asymmetries to the SIMBA Simulation,The Astronomical Journal,success
Resolving the $\chi_{\rm eff}$-$q$ correlation among Coalescing Binary Black Holes and Evidence for AGN-driven Hierarchical Mergers,The Astrophysical Journal,success
Void spin distribution as a powerful probe of $\sigma_{8}$,Journal of Cosmology and Astroparticle Physics,success
The Mini SiTian Array: Prospects of Searching for Tidal Disruption Events,Research in Astronomy and Astrophysics,success
"Chasing the Light: Shadowing, Collimation, and the Super-Eddington Growth of Infant Black Holes in JWST-Discovered AGNs",arXiv e-prints,success
Galaxy Morphological Classification with Zernike Moments and Machine Learning Approaches,The Astrophysical Journal Supplement Series,success
The cosmic evolution of FRBs inferred from CHIME/FRB Catalog 1,The Astrophysical Journal,success
Evolution of SMBHs in light of PTA measurements: implications for growth by mergers and accretion,Physical Review D,success
Jet-shaped filamentary ejecta in common envelope evolution,The Open Journal of Astrophysics,success
Cosmic Large-Scale Structure Formation from Newtonian Particle Dynamics,arXiv e-prints,success
Illustrating the consequences of a misuse of $\sigma_8$ in cosmology,Physical Review D,success
GOTO065054+593624: a peculiar dwarf nova identified in real time via Kilonova Seekers,Astronomy and Astrophysics,success
Comparison of Herschel and ArT\'eMiS observations of massive filaments,Astronomy and Astrophysics,success
AstroPix: A Pixelated HVCMOS Sensor for Space-Based Gamma-Ray Measurement,Nuclear Instruments and Methods in Physics Research A,success
Prospects for high-resolution probes of galaxy dynamics tracing background cosmology in MaNGA,New Astronomy,success
FAST drift scan survey for HI intensity mapping: simulation on Bayesian-stacking-based HI mass function estimation,The Astrophysical Journal,success
"A multi-frequency census of 100 pulsars below 100 MHz with LWA: a systematic study of flux density, spectra, timing, dispersion, polarization, and its variation from a decade of observations",The Astrophysical Journal,success
Examining Turbulence in Galactic Molecular Clouds -- I: A Statistical Analysis of Velocity Structures,The Astrophysical Journal,success
Mapping the Active Galactic Nucleus Effects on the Stellar and Gas Properties of NGC 5806,The Astrophysical Journal,success
MIDIS: Quantifying the AGN component of X-ray-detected galaxies,arXiv e-prints,success
Dark Matter Effects on the Curvature of Neutron Stars within the new Quarkyonic Model Coupled with Relativistic Mean Field Theory,arXiv e-prints,success
Modeling the Spectral Energy Distribution of Active Galactic Nuclei: Implications for Cosmological Simulations of Galaxy Formation,arXiv e-prints,success
Cosmological search for sterile neutrinos after DESI 2024,arXiv e-prints,success
Studying the Baryon Acoustic Oscillations using photometric redshifts from the DESI Legacy Imaging survey DR9,Astronomy and Astrophysics,success
