title,ads_bibcode,affiliations,total_citations,non_self_citations,status
Strategy for identifying Vera C. Rubin Observatory kilonova candidates for targeted gravitational-wave searches,2025arXiv251012932S,,1,1,success
InferA: A Smart Assistant for Cosmological Ensemble Data,2025arXiv251012920T,,0,0,success
Towards High-Resolution Orbitrap Mass Spectrometry for Next- Generation In-Situ Space Dust Analysis,2025arXiv251012903M,,0,0,success
Mean Motion Resonances in AGN Disks,2025arXiv251012895E,,1,1,success
ALMAGAL VIII. Cataloging Hierarchical Mass Structure from Cores to Clumps across the Galactic Disk,2025arXiv251012892W,,1,1,success
Revealing evolution of Dark Energy density from observations,2025arXiv251012881B,,2,2,success
Eccentric Disks With Self-Gravity,2025arXiv251012871L,,0,0,success
"Unified kinetic theory of induced scattering: Compton, Brillouin, and Raman processes in magnetized electron and positron pair plasma",2025arXiv251012869N,,0,0,success
Probabilistic Inference of Cosmological Density Parameters from Synthetic Hubble Expansion Data of Varying SNR Using Diverse Artificial Neural Network Architectures,2025arXiv251012865J,,0,0,success
Simulation of Time-dependent Karhunen-Loeve Phase Screens: an Ergodic Approach,2025arXiv251012861M,,0,0,success
Cosmic Ray Transport and Gamma-Ray Signatures in the Interstellar Medium,2025arXiv251012965B,,0,0,success
A Catalog of Filaments in the Central Molecular Zone,2025ApJS..281...33A,"Arendt, Richard G.: Center for Space Sciences and Technology, University of Maryland, Baltimore County, Baltimore, MD 21250, USA; Code 665, NASA/GSFC, 8800 Greenbelt Road, Greenbelt, MD 20771, USA; Center for Research and Exploration in Space Science and Technology, NASA/GSFC, Greenbelt, MD 20771, USA; Yusef-Zadeh, F.: Dept. of Physics and Astronomy, CIERA, Northwestern University, 2145 Sheridan Road, Evanston, IL 60207, USA; Heywood, I.: SKA Observatory, Jodrell Bank, Lower Whitington, Macclesfield, SK11 9FT, UK; Department of Physics and Electronics, Rhodes University, PO Box 94, Grahamstown, 6140, South Africa; South African Radio Astronomy Observatory, Liesbeek House, River Park, Gloucester Road, Cape Town, 7700, South Africa",0,0,success
Radiation pressure and equation of state are important in the envelope unbinding process in common envelope evolution,2025arXiv251014173C,,0,0,success
Quasi-periodic oscillations in optical color evolutions to support sub-pc binary black hole systems in broad line active galactic nuclei,2025A&A...703L...4Z,"Zhang, XueGuang: Guangxi Key Laboratory for Relativistic Astrophysics, School of Physical Science and Technology, GuangXi University, No. 100, Daxue Road, Nanning, 530004, PR China;",1,0,success
