s2_id,S2_Title,S2_Citations,S2_NonSelfCitations
ARXIV:2503.13291,Contribution to the Radio Light Curves of a Core-Collapse Supernova due to the Off-axis Gamma-Ray Burst Afterglow,0,0
ARXIV:2503.13290,GD-1 and the Milky Way Starless Subhalos,0,0
ARXIV:2503.13283,Detection of RS Oph with LST-1 and modelling of its HE/VHE gamma-ray emission,2,2
ARXIV:2503.13280,Mass-dependent Radial Distribution of Single and Binary Stars in the Pleiades and Their Dynamical Implications,1,1
ARXIV:2503.13263,On the accuracy of posterior recovery with neural network emulators,1,1
ARXIV:2503.13261,Starburst-driven galactic outflows. Unveiling the suppressive role of cosmic ray halos,1,1
ARXIV:2503.13231,Synthetic Spectroscopy for White Dwarf Classification: Addressing Label Uncertainty and Class Imbalance,1,1
ARXIV:2503.13216,A Multimessenger Mass Determination Method for LISA Neutron Star–White Dwarf Binaries,1,1
ARXIV:2503.13210,Flat tails in FRB and pulsar energy distributions: implications for optimizing nearby FRB surveys,0,0
ARXIV:2503.13198,Reconstructing the dark energy density in light of DESI BAO observations,16,16
ARXIV:2503.13192,Constraining the parameters of heavy dark matter and memory-burdened primordial black holes with DAMPE electron measurements,7,7
ARXIV:2503.13183,OLÉ — Online Learning Emulation in cosmology,8,8
ARXIV:2503.13182,The Lyα Sky as Observed by New Horizons at 57 au,1,1
ARXIV:2503.13181,Tayler instability and dynamo action of cylindric magnetic rings,0,0
ARXIV:2503.18084,Decoding FRB energetics and frequency features hidden by observational incompleteness,0,0
ARXIV:2503.15314,Euclid Quick Data Release (Q1). A first view of the star-forming main sequence in the Euclid Deep Fields,1,1
ARXIV:2503.15313,Euclid Quick Data Release (Q1): The evolution of the passive-density and morphology-density relations between $z=0.25$ and $z=1$,0,0
ARXIV:2503.15312,Euclid Quick Data Release (Q1). Exploring galaxy properties with a multi-modal foundation model,2,2
ARXIV:2503.15311,Euclid Quick Data Release (Q1). A first look at the fraction of bars in massive galaxies at z<1,0,0
ARXIV:2503.15310,Euclid Quick Data Release (Q1): First visual morphology catalogue,0,0
ARXIV:2503.15309,Euclid Quick Data Release (Q1). Exploring galaxy morphology across cosmic time through Sérsic fits,0,0
ARXIV:2503.15308,Euclid Quick Data Release (Q1). Characteristics and limitations of the spectroscopic measurements,1,1
ARXIV:2503.15307,Euclid Quick Data Release (Q1). From spectrograms to spectra: The SIR spectroscopic processing function,2,2
ARXIV:2503.15306,Euclid Quick Data Release (Q1). Photometric redshifts and physical properties of galaxies through the PHZ processing function,0,0
ARXIV:2503.15305,Euclid Quick Data Release (Q1): From images to multiwavelength catalogues: the Euclid MERge Processing Function,0,0
ARXIV:2503.15304,Euclid Quick Data Release (Q1). NIR processing and data products,0,0
ARXIV:2503.15303,Euclid Quick Data Release (Q1). VIS processing and data products,0,0
ARXIV:2503.15302,Euclid Quick Data Release (Q1) -- Data release overview,4,4
ARXIV:2503.15256,Ionized Envelopes Around Protoplanets and the Role of Radiative Feedback in Gas Accretion,0,0
ARXIV:2503.15217,Radio Science Investigations for the Heavy Metal Mission to Asteroid (216) Kleopatra,0,0
ARXIV:2503.15196,Detectability of oxygen fugacity regimes in the magma ocean world 55 Cancri e at high spectral resolution,0,0
ARXIV:2503.15318,Euclid Quick Data Release (Q1). First Euclid statistical study of the active galactic nucleus contribution fraction,0,0
ARXIV:2503.15194,Primordial correlators from multi-point propagators,0,0
ARXIV:2503.15319,Euclid Quick Data Release (Q1). First study of red quasars selection,0,0
ARXIV:2503.15321,Euclid Quick Data Release (Q1). Active galactic nuclei identification using diffusion-based inpainting of Euclid VIS images,0,0
ARXIV:2503.15422,"Limits on the Ejecta Mass During the Search for Kilonovae Associated with Neutron Star-Black Hole Mergers: A case study of S230518h, GW230529, S230627c and the Low-Significance Candidate S240422ed",4,4
ARXIV:2503.15396,On the linear structure of the interlaced Alfvén vortices in the tail of Uranus at solstice,0,0
ARXIV:2503.15393,Orbital eccentricity in a neutron star - black hole binary,18,18
ARXIV:2503.15350,Connecting a Magnetized Disk to a Convective Low-mass Protostar: A Global Three-dimensional Model of Boundary Layer Accretion,0,0
ARXIV:2503.15345,Is the Radcliffe wave turbulent?,0,0
ARXIV:2503.15335,Euclid: Quick Data Release (Q1) -- A census of dwarf galaxies across a range of distances and environments,0,0
ARXIV:2503.15334,Euclid: Quick Data Release (Q1) -- Photometric studies of known transients,0,0
ARXIV:2503.15333,Euclid Quick Data Release (Q1). Galaxy shapes and alignments in the cosmic web,1,1
ARXIV:2503.15332,Euclid Quick Data Release (Q1). The role of cosmic connectivity in shaping galaxy clusters,1,1
ARXIV:2503.15331,Euclid Quick Data Release (Q1). Combined Euclid and Spitzer galaxy density catalogues at $z>$ 1.3 and detection of significant Euclid passive galaxy overdensities in Spitzer overdense regions,1,1
ARXIV:2503.15330,Euclid Quick Data Release (Q1). The first catalogue of strong-lensing galaxy clusters,0,0
ARXIV:2503.15329,Euclid Quick Data Release (Q1). LEMON -- Lens Modelling with Neural networks. Automated and fast modelling of Euclid gravitational lenses with a singular isothermal ellipsoid mass profile,0,0
ARXIV:2503.15328,Euclid Quick Data Release (Q1). The Strong Lensing Discovery Engine E -- Ensemble classification of strong gravitational lenses: lessons for Data Release 1,0,0
ARXIV:2503.15327,Euclid Quick Data Release (Q1). The Strong Lensing Discovery Engine D -- Double-source-plane lens candidates,1,1
ARXIV:2503.15326,Euclid Quick Data Release (Q1). The Strong Lensing Discovery Engine C: Finding lenses with machine learning,2,2
ARXIV:2503.15325,Euclid Quick Data Release (Q1) The Strong Lensing Discovery Engine B -- Early strong lens candidates from visual inspection of high velocity dispersion galaxies,1,1
ARXIV:2503.15324,Euclid Quick Data Release (Q1): The Strong Lensing Discovery Engine A -- System overview and lens catalogue,1,1
ARXIV:2503.15323,Euclid Quick Data Release (Q1). Extending the quest for little red dots to z<4,1,1
ARXIV:2503.15322,"Euclid Quick Data Release (Q1). An investigation of optically faint, red objects in the Euclid Deep Fields",0,0
ARXIV:2503.15320,Euclid Quick Data Release (Q1). The active galaxies of Euclid,0,0
ARXIV:2503.14581,Planck isocurvature constraint on primordial black holes lighter than a kiloton,3,3
ARXIV:2503.15189,Competitive Accretion and the Baryonic Fraction in Galaxies,0,0
ARXIV:2503.15102,Comparison of the earliest NC and CC planetesimals: Evidence from ungrouped iron meteorites,7,7
ARXIV:2503.14740,Construction of the Damped Ly$\alpha$ Absorber Catalog for DESI DR2 Ly$\alpha$ BAO,1,1
ARXIV:2503.14739,DESI DR2 results. I. Baryon acoustic oscillations from the Lyman alpha forest,69,69
ARXIV:2503.14738,DESI DR2 results. II. Measurements of baryon acoustic oscillations and cosmological constraints,386,386
ARXIV:2503.14732,The galaxy-environment connection revealed by constrained simulations,0,0
ARXIV:2503.14726,Characterizing Magnetic Properties of Young Protostars in Orion,1,1
ARXIV:2503.14703,The Emerging Black Hole Mass Function in the High-redshift Universe,2,2
ARXIV:2503.14691,Performance predictions and contrast limits for an ultraviolet high-contrast imaging testbed,2,2
ARXIV:2503.14687,X-Shooting ULLYSES: Massive stars at low metallicity. XII. Clumped winds of O-type (super)giants in the Large Magellanic Cloud,0,0
ARXIV:2503.14683,Probing interplanetary scintillation using broadband VLBI,0,0
ARXIV:2503.14657,Origin of the System of Globular Clusters in the Milky Way—Gaia eDR3 Edition,1,1
ARXIV:2503.14651,The origin of very high-energy diffuse γ-ray emission: The case for galactic source cocoons,3,3
ARXIV:2503.14642,The Bulge Cluster Origin (BulCO) survey at the ESO-VLT: Probing the early history of the Milky Way assembly. Design and first results in Liller 1,0,0
ARXIV:2503.14624,A 7 day Multiwavelength Flare Campaign on AU Mic. II. Electron Densities and Kinetic Energies from High-frequency Radio Flares,3,3
ARXIV:2503.14605,A Million Three-body Binaries Caught by Gaia,0,0
ARXIV:2503.14597,Refractory carbon depletion by photolysis through dust collisions and vertical mixing,1,1
ARXIV:2503.14594,Superconductivity in magnetars: Exploring type-I and type-II states in toroidal magnetic fields,0,0
ARXIV:2503.14591,Reconstructing Star Formation Histories of High-redshift Galaxies: A Comparison of Resolved Parametric and Nonparametric Models,1,1
ARXIV:2503.14590,The Local Ultraviolet to Infrared Treasury. II. Refining Star Formation Histories of 10 Metal-poor Dwarf Galaxies with Simultaneous UV-optical Two-CMD Fitting,0,0
ARXIV:2503.14588,The curious case of EP241021a: Unraveling the mystery of its exceptional rebrightening,6,6
ARXIV:2503.14741,Validation of the DESI DR2 Ly$\alpha$ BAO analysis using synthetic datasets,0,0
ARXIV:2503.15183,"Star formation and stellar & AGN feedback in the absence of accretion, not gas stripping, set the quenching timescale in satellite galaxies",0,0
ARXIV:2503.14742,Validation of the DESI DR2 Measurements of Baryon Acoustic Oscillations from Galaxies and Quasars,19,19
ARXIV:2503.14744,Constraints on neutrino physics from DESI DR2 BAO and DR1 full shape,51,51
ARXIV:2503.15094,A Method of Extracting Flat Field from Real Time Solar Observation Data,0,0
ARXIV:2503.15085,Probing the physical environment of the most high-redshift H2-DLAs through numerical models,0,0
ARXIV:2503.15084,A Constraint on Superheavy Elements of the GRB–Kilonova AT 2023vfi,2,2
ARXIV:2503.15081,Orbits of very distant asteroid satellites,0,0
ARXIV:2503.15067,Exploring magnetised galactic outflows in starburst dwarf galaxies NGC 3125 and IC 4662,0,0
ARXIV:2503.15066,A Novel Quantity for Probing Matter Perturbations Below the Fresnel Scale in Gravitational Lensing of Gravitational Waves,0,0
ARXIV:2503.15059,SOFIA FIFI-LS spectroscopy of DR21 Main: Energetics of the spatially resolved outflow from a high-mass protostar,1,1
ARXIV:2503.15052,Discrete treatment of inverse Compton scattering: Implications on parameter estimation in gamma-ray astronomy,0,0
ARXIV:2503.14995,Radial Flow Component of Sun’s High-frequency Retrograde Inertial Waves,0,0
ARXIV:2503.14994,V1047 Cen: The First Z And-type Outburst Observed in the Classical Nova Binary,1,1
ARXIV:2503.14969,Constraining Axially Symmetric Bianchi Type I Model with Self-Consistent Recombination History and Observables,1,1
ARXIV:2503.14907,The Herbig–Haro Outflow Content and Star-forming Environment of Circinus West and East,0,0
ARXIV:2503.14896,Optical and Near-infrared Contemporaneous Polarimetry of C/2023 A3 (Tsuchinshan-ATLAS),1,1
ARXIV:2503.14856,Enhanced astrometry of the rapid ASKAP continuum survey for precise localisation of fast radio bursts,0,0
ARXIV:2503.14835,Stellar β−-decay Rate of 63Ni and Its Impact on the s-process Nucleosynthesis in Massive Stars,0,0
ARXIV:2503.14812,IMF slope derived from a pure probabilistic model,0,0
ARXIV:2503.14804,Using Lithium and Beryllium to Study Structure and Evolution of Rotating Stars,0,0
ARXIV:2503.14789,Analyses of anomalous lensing events detected from the UKIRT microlensing survey,1,1
ARXIV:2503.14745,Data Release 1 of the Dark Energy Spectroscopic Instrument,85,85
ARXIV:2503.14743,Extended dark energy analysis using DESI DR2 BAO measurements,159,159
ARXIV:2503.18116,Using Planck maps for a systematic search of ultra-bright high-redshift strongly lensed galaxies,0,0
ARXIV:2503.22337,"Adding Further Pieces to the Synchronization Puzzle: QBO, Bimodality, and Phase Jumps",1,1
ARXIV:2503.18128,A Cometary Fluorescence Model for the ν3 Vibrational Band of Cyanogen,0,0
ARXIV:2503.22312,Evaluating Mass Outflow Rate Estimators in FIRE-2 Simulations: Toward a Self-consistent Framework for Spectral-line-based Predictions,2,2
ARXIV:2503.22306,Breaking the Degeneracy between Warps and Radial Flows in External Galaxies,0,0
ARXIV:2503.22289,Detection of Methane in the Closest Extreme Metal-poor T Dwarf WISEA J181006.18−101000.5,1,1
ARXIV:2503.22259,The persistent nature of the Be X-ray binary pulsar 4U 0728-25,0,0
ARXIV:2503.22245,First snapshot of a magnetosphere around a Herbig Ae/Be star,1,1
ARXIV:2503.22229,Discern Misclassified flat-spectrum radio quasars from low-frequency peaked BL Lacertae objects,0,0
ARXIV:2503.22203,The Simons Observatory: Large diameter and large load-capacity superconducting magnetic bearing for a millimeter-wave polarization modulator.,0,0
ARXIV:2503.22149,Identifying Catastrophic Outlier Photometric Redshift Estimates in the COSMOS Field with Machine Learning Methods,0,0
ARXIV:2503.22148,Exploring sub-GeV dark matter physics with cosmic ray and future telescopes,0,0
ARXIV:2503.22130,The Formation of Direct Collapse Black Holes at Cosmic Dawn and 21 cm Global Spectrum,2,2
ARXIV:2503.22316,CHEX-MATE: Multiprobe analysis of Abell 1689,0,0
ARXIV:2503.22127,Asteroseismology of Long-period Variables with OGLE-IV Data: Using Global Seismic Parameters as Luminosity Indicators,0,0
ARXIV:2503.22083,A main sequence CH-star in the globular cluster M55 (NGC 6809),0,0
ARXIV:2503.22075,Identification and Analysis of Galactic Bars in DESI Legacy Imaging Surveys,2,2
ARXIV:2503.22041,Improved Tomographic Reconstruction of 3D Global Coronal Density from STEREO/COR1 Observations,0,0
ARXIV:2503.22039,Resolved Stellar and Nebular Kinematics of a Star-forming Galaxy at z ∼ 2,0,0
ARXIV:2503.22037,Hints of an Anomalous Lens Population towards the Galactic Bulge,2,2
ARXIV:2503.22031,Measurement of Methane Line Broadening in Hot Hydrogen/Helium Atmospheres at λ = 1.60–1.63 μm for Substellar Object Spectroscopy,2,2
ARXIV:2503.21995,Supermassive Black Holes Stripping a Subgiant Star Down to Its Helium Core: A New Type of Multimessenger Source for LISA,0,0
ARXIV:2503.21994,Double-peaked Ca II traces a relativistic broad-line region disk in NGC 4593,1,1
ARXIV:2503.21948,Atomic Transition Probabilities for UV and Optical Lines of Gd ii,1,1
ARXIV:2503.21936,Binarity at LOw Metallicity (BLOeM):. Enhanced multiplicity of early B-type dwarfs and giants at Z=0.2 Zsun,2,2
ARXIV:2503.22109,Formation and Evolution of Compact Binaries Containing Intermediate-mass Black Holes in Dense Star Clusters,2,2
ARXIV:2503.22322,LiteBIRD science goals and forecasts: constraining isotropic cosmic birefringence,9,9
ARXIV:2503.22331,AT2021uey: A planetary microlensing event outside the Galactic bulge,0,0
ARXIV:2503.13136,Gravito-turbulent bi-fluid protoplanetary discs. I. An analytical perspective to stratification,0,0
ARXIV:2503.22642,The Radiative Effects of Photochemical Hazes on the Atmospheric Circulation and Phase Curves of Sub-Neptunes,0,0
ARXIV:2503.22632,The atmospheric entry of cometary impactors,2,2
ARXIV:2503.22628,Enigmatic diffuse ionized gas structures in a cluster of galaxies near cosmic noon,0,0
ARXIV:2503.22617,Using Machine Learning for Lunar Mineralogy-I: Hyperspectral Imaging of Volcanic Samples,2,2
ARXIV:2503.22608,Clouds and Hazes in GJ 1214 b’s Metal-rich Atmosphere,4,4
ARXIV:2503.22586,Disc breaking through forced eccentricity growth,0,0
ARXIV:2503.22566,Revisiting inelastic Cu+H collisions and the non-LTE Galactic evolution of copper,2,2
ARXIV:2503.22559,Euclid Quick Data Release (Q1) Ultracool dwarfs in the Euclid Deep Field North,0,0
ARXIV:2503.22553,Tracing the heliospheric magnetic field via anisotropic radio-wave scattering,3,3
ARXIV:2503.22543,StAGE: Stellar Archaeology-driven Galaxy Evolution,1,1
ARXIV:2503.22532,Cosmology with Cosmic Voids,0,0
ARXIV:2503.22529,"To CPL, or not to CPL? What we have not learned about the dark energy equation of state",23,23
ARXIV:2503.22525,Ca ii and Hα flaring M dwarfs detected with multi-filter photometry,1,1
ARXIV:2503.22509,Comparison of Plasma Dynamics in Coronal Holes and Quiet Sun Using Flux Emergence Simulations,0,0
ARXIV:2503.22497,Euclid: Quick Data Release (Q1) -- A photometric search for ultracool dwarfs in the Euclid Deep Fields,0,0
ARXIV:2503.22479,Chaos in violent relaxation dynamics. Disentangling micro- and macro-chaos in numerical experiments of dissipationless collapse,0,0
ARXIV:2503.22469,Missing components in ΛCDM from DESI Y1 baryonic acoustic oscillation measurements: Insights from redshift remapping,0,0
ARXIV:2503.22466,Properties of Interstellar Medium in the S0 Galaxy NGC 1222: Evidence for Shock-enhanced Line Emission,0,0
ARXIV:2503.22446,Stellar intensity interferometry in the photon-counting regime,1,1
ARXIV:2503.22442,"Euclid Quick Data Release (Q1)—Spectroscopic Search, Classification, and Analysis of Ultracool Dwarfs in the Deep Fields",2,2
ARXIV:2503.22361,A novel approach to optimizing the image cleaning performance of Imaging Atmospheric Cherenkov Telescopes: Application to a time-based cleaning for H.E.S.S.,0,0
ARXIV:2503.22343,Auto- and cross-correlations for multiple images of corotating hotspots in accretion disks,1,1
ARXIV:2503.22341,Probing stellar-mass primordial black holes with type Ia supernova microlensing,1,1
ARXIV:2503.21922,Dust-void evolution driven by turbulent dust flux can induce runaway migration of Earth-mass planets,1,1
ARXIV:2503.22654,On the Effects of Parameters on Galaxy Properties in CAMELS and the Predictability of Ωm,1,1
ARXIV:2503.21921,"MIRACLE. I. Unveiling the multi-phase, multi-scale physical properties of the active galaxy NGC 424 with MIRI, MUSE, and ALMA",1,1
ARXIV:2503.21896,A Mysteriously Tight H$\alpha$-[O III] Correlation and Non-Case B Balmer Decrements Revealed by the Spectra from the James Webb Space Telescope NIRSpec Instrument,0,0
ARXIV:2503.21508,How to constrain the stochastic gravitational wave background with multi-frequency detections,0,0
ARXIV:2503.21499,The Evolving Power Spectrum for the Light Cone Epoch of Reionization 21 cm Signal,1,1
ARXIV:2503.21492,3D MHD simulations of runaway pulsars in core collapse supernova remnants,0,0
ARXIV:2503.21370,Asymmetric accretion through a streamer onto the pre-stellar core H-MM1,0,0
ARXIV:2503.21369,Constraints on AvERA cosmologies from cosmic chronometers and type Ia supernovae,0,0
ARXIV:2503.21368,The Jiutian simulations for the CSST extra-galactic surveys,8,8
ARXIV:2503.21363,Paper Not Found,0,0
ARXIV:2503.21359,ASR: Archival Solar flaRes catalogue,1,1
ARXIV:2503.21344,X-Ray Polarization of the High-synchrotron-peak BL Lacertae Object 1ES 1959+650 during Intermediate and High X-Ray Flux States,0,0
ARXIV:2503.21331,Study of the origin of the azimuthal variation of the synchrotron X-ray spectrum from SNR RX J0852.0−4622,0,0
ARXIV:2503.21584,"1-DREAM: 1D Recovery, Extraction and Analysis of Manifolds in noisy environments",5,5
ARXIV:2503.21304,Euclid Quick Data Release (Q1). The Euclid view on Planck galaxy protocluster candidates: towards a probe of the highest sites of star formation at cosmic noon,1,1
ARXIV:2503.21283,"The OTELO survey. New evidence of downsizing from the specific star formation rates, stellar mass functions, and star formation histories of a sample of low-mass galaxies at $0.38",0,0
ARXIV:2503.21278,Gravitational-wave kicks impact spins of black holes from hierarchical mergers,5,5
ARXIV:2503.21266,The ESO SupJup Survey. VII. Clouds and line asymmetries in CRIRES^+ J-band spectra of the Luhman 16 binary,1,1
ARXIV:2503.21230,Possibility of using 3.3$\mu$m PAH luminosity as a molecular gas mass estimator,0,0
ARXIV:2503.21229,Eruptivity of Flaring Active Regions Based on Electric Current Neutralization and Torus Instability Analysis,1,1
ARXIV:2503.21217,Simultaneous formation of the Andromeda Giant Southern Stream and the substructures in the Andromeda Halo,0,0
ARXIV:2503.21207,AliCPT Sensitivity to Cosmic Reheating,1,1
ARXIV:2503.21184,Visible Emission Line Coronagraph (VELC) on Board Aditya-L1,6,6
ARXIV:2503.21153,Unveiling the Power of Uncertainty: A Journey into Bayesian Neural Networks for Stellar dating,0,0
ARXIV:2503.21139,Hunting for High-mass X-Ray Binaries in the Galactic Center with NuSTAR,0,0
ARXIV:2503.21294,"The Molecular and Atomic Hydrogen Gas Content of the Bo\""otes Void galaxy CG 910",0,0
ARXIV:2503.21600,The impact of the Hubble tension on the evidence for dynamical dark energy,32,32
ARXIV:2503.21641,A possible GeV-TeV connection in the direction of the globular cluster UKS 1,2,2
ARXIV:2503.21652,Interacting Dark Sectors in light of DESI DR2,16,16
ARXIV:2503.21892,Shape and spin-state model of tumbling asteroid (319) Leona,0,0
ARXIV:2503.21890,The Proxima Centauri Campaign—First Constraints on Millimeter Flare Rates from ALMA,1,1
ARXIV:2503.21879,A rapid channel for the collisional formation and gravitational wave driven mergers of supermassive black hole seeds at high redshift,6,6
ARXIV:2503.21876,The Potential of the SPHEREx Mission for Characterizing Polycyclic Aromatic Hydrocarbon 3.3 μm Emission in Nearby Galaxies,1,1
ARXIV:2503.21874,"The Type I Superluminous Supernova Catalogue II: Spectroscopic Evolution in the Photospheric Phase, Velocity Measurements, and Constraints on Diversity",3,3
ARXIV:2503.21871,Accelerating LISA inference with Gaussian processes,0,0
ARXIV:2503.21870,A High-Caliber View of the Bullet Cluster through JWST Strong and Weak Lensing Analyses,5,5
ARXIV:2503.21869,Galaxy Zoo JWST: Up to 75% of discs are featureless at 3 < z < 7,3,3
ARXIV:2503.21865,Wave Interference in Self-Interacting Fuzzy Dark Matter,5,5
ARXIV:2503.21863,The dawn of disks: unveiling the turbulent ionised gas kinematics of the galaxy population at $z\sim4-6$ with JWST/NIRCam grism spectroscopy,2,2
ARXIV:2503.21811,A follow-up strategy enabling discovery of electromagnetic counterparts to highly magnified gravitationally lensed gravitational waves,2,2
ARXIV:2503.21759,Large Scale Structure and the Cosmic Web,1,1
ARXIV:2503.21744,Expectation for the MeV Gamma-Ray Emission from Pair-Instability Supernovae,0,0
ARXIV:2503.21743,Three-dimensional stacking as a line intensity mapping statistic,1,1
ARXIV:2503.21738,Galaxy morphologies at cosmic noon with JWST : A foundation for exploring gas transport with bars and spiral arms,2,2
ARXIV:2503.21736,Local primordial non-Gaussian bias from time evolution,3,3
ARXIV:2503.21734,"Structure and Melting of Fe, MgO, SiO2, and MgSiO3 in Planets: Database, Inversion, and Phase Diagram",0,0
ARXIV:2503.21728,Near-field imaging of local interference in radio interferometric data. Impact on the redshifted 21 cm power spectrum,2,2
ARXIV:2503.21724,Ram-pressure stripping caught in action in a forming galaxy cluster 3 billion years after the Big Bang,0,0
ARXIV:2503.21716,Dynamics of Star Cluster Formation: The Effects of Ongoing Star Formation and Stellar Feedback,1,1
ARXIV:2503.21706,Flashlights: Prospects for constraining the initial mass function around cosmic noon with caustic-crossing events,0,0
ARXIV:2503.21702,Enabling Robust Exoplanet Atmospheric Retrievals with Gaussian Processes,2,2
ARXIV:2503.21687,Exploiting synergies between JWST and cosmic 21-cm observations to uncover star formation in the early Universe,3,3
ARXIV:2503.21898,Irradiated Atmospheres III : Radiative-Convective-Mixing Equilibrium for Non-Grey Picket-Fence Model,0,0
ARXIV:2503.21120,Comparison of Different Methods to Determine the Distance to LMC,0,0
ARXIV:2503.22657,dolphin: A Fully Automated Forward-modeling Pipeline Powered by Artificial Intelligence for Galaxy-scale Strong Lenses,2,2
ARXIV:2503.22667,Effect of irradiation model on 2D hydrodynamic simulations of self-gravitating protoplanetary discs,0,0
ARXIV:2503.23918,Hint of $r\simeq 0.01$ after DESI DR2 ?,0,0
ARXIV:2503.23878,Populations of evolved massive binary stars in the Small Magellanic Cloud. II. Predictions from rapid binary evolution,0,0
ARXIV:2503.23876,Populations of evolved massive binary stars in the Small Magellanic Cloud. I. Predictions from detailed evolution models,2,2
ARXIV:2503.23868,Modelling Gaia photometry signals of dark halos,0,0
ARXIV:2503.23859,radio-llava: Advancing vision-language models for radio astronomical source analysis,1,1
ARXIV:2503.23856,Explodability criteria for the neutrino-driven supernova mechanism,9,9
ARXIV:2503.23852,Multispacecraft Observations of the 2024 September 9 Backside Solar Eruption That Resulted in a Sustained Gamma Ray Emission Event,3,3
ARXIV:2503.23849,Narrow-Line Seyfert 1 Galaxies Beyond the Local X-ray Universe: An X-ray spectral sample,0,0
ARXIV:2503.23843,The Problem of the Global Astrometric Sphere Reconstruction in Astrometry -- Issues and Approaches,0,0
ARXIV:2503.23841,"A search for the three isomers of cyano-1,3-butadiene in TMC-1 : Implications for bottom-up routes involving 1,3-butadiene",1,1
ARXIV:2503.23932,The wind properties of O-type stars at sub-SMC metallicity,0,0
ARXIV:2503.23838,A MeerKAT survey of nearby dwarf novae: I. New detections,0,0
ARXIV:2503.23812,A new independent look at the galactic black hole low-mass X-ray binary distribution,0,0
ARXIV:2503.23797,Kiloparsec-scale Alignment of a Radio Jet with Cool Gas and Dust in a z ∼ 6 Quasar,1,1
ARXIV:2503.23788,Detection of an extraterrestrial technical civilisation on the extrasolar planet GJ 1132b,0,0
ARXIV:2503.23727,Angle-dependent in Situ Fast Flavor Transformations in Post-neutron-star-merger Disks,6,6
ARXIV:2503.23710,Formation of the Little Red Dots from the Core-collapse of Self-interacting Dark Matter Halos,9,9
ARXIV:2503.23700,Dual-band Unified Exploration of three CMZ Clouds (DUET). Cloud-wide census of continuum sources showing low spectral indices,2,2
ARXIV:2503.23678,The Persistent Shift in Spin-down Rate Following the Largest Crab Pulsar Glitch Rules Out External Torque Variations due to Starquakes,1,1
ARXIV:2503.23646,"SPHERE/ZIMPOL insights into discs around evolved stars: arcs, asymmetries and dust properties",0,0
ARXIV:2503.23640,Dynamics of the intermediate-mass-element ejecta in the supernova remnant Cassiopeia A studied with XRISM,2,2
ARXIV:2503.23634,Magnetic fields in the multiphase interstellar medium of the Milky Way: turbulent kinetic and magnetic energy density relation,1,1
ARXIV:2503.23825,Calibration requirements for epoch of reionization 21-cm signal observations. Part IV. Bias and variance with time and frequency correlated residual gains,0,0
ARXIV:2503.23971,Distortion of the CMB spectrum by the first molecules of the Dark Ages,0,0
ARXIV:2503.23997,"On the Origin of Jupiter’s Fuzzy Core: Constraints from N-body, Impact, and Evolution Simulations",3,3
ARXIV:2503.24039,TOPz: Photometric redshifts using template fitting applied to the GAMA survey,1,1
ARXIV:2503.24385,Evolution of structure growth during dark energy domination: Insights from the cross-correlation of DESI galaxies with CMB lensing and galaxy magnification,11,11
ARXIV:2503.24384,High-energy Emission from the Intrabinary Shocks in Redback Pulsars,4,4
ARXIV:2503.24359,Evidence of the fast acceleration of AGN-driven winds at kiloparsec scales,2,2
ARXIV:2503.24343,Early time solution as an alternative to the late time evolving dark energy with DESI DR2 BAO,27,27
ARXIV:2503.24316,Structure and Fragmentation Scale of a Massive Star-forming Filament in NGC 6334: High-resolution Mid-infrared Absorption Imaging with JWST,1,1
ARXIV:2503.24312,ALMA Band 3 Selection of Ultra-high Redshift Dropouts: The final challenge to {\Lambda}CDM,0,0
ARXIV:2503.24309,The edge-on disc Tau 042021: Icy grains at high altitudes and a wind containing astronomical polycyclic aromatic hydrocarbons,0,0
ARXIV:2503.24304,Gravitational Waves from Massive Black Hole Mergers in ASTRID: Predictions for LISA,0,0
ARXIV:2503.24292,Implicit electric field conjugation with a photonic lantern nuller,0,0
ARXIV:2503.24280,BOWIE-ALIGN: Sub-stellar metallicity and carbon depletion in the aligned TrES-4b with JWST NIRSpec transmission spectroscopy,3,3
ARXIV:2503.24271,Enhancing Image Resolution of Solar Magnetograms: A Latent Diffusion Model Approach,0,0
ARXIV:2503.24269,A direct detection method of galaxy intrinsic ellipticity-gravitational shear correlation in non-linear regimes using self-calibration,0,0
ARXIV:2503.24266,EP240414a: Off-axis View of a Jet-cocoon System from an Expanded Progenitor Star,7,7
ARXIV:2503.24254,PromoPlot: Covering open-access fees by filling wasted space in corner plots,0,0
ARXIV:2503.24242,Orlando's flask: detection of a lost-and-found valley on the Moon,0,0
ARXIV:2503.24188,A Swift analysis of the Eras tour set list and implications for astrophysics research (Taylor's version),1,1
ARXIV:2503.24181,Computational challenges of 21st century Global Astrometry,0,0
ARXIV:2503.24154,Nonlinear saturation of gravito-inertial modes excited by tidal resonances in binary neutron stars,1,1
ARXIV:2503.24142,Dust Concentration Via Coupled Vertical Settling and Radial Migration in Substructured Non-Ideal MHD Discs and Early Planet Formation,1,1
ARXIV:2503.24113,From Local to Remote: VisIVO Visual Analytics in the Era of the Square Kilometre Array,0,0
ARXIV:2503.24097,Systematic Search for FFPs in KMTNet Full-frame Images. I. Photometry Pipeline,1,1
ARXIV:2503.24084,Environmental effects in stellar mass gravitational wave sources I: Expected fraction of signals with significant dephasing in the dynamical and AGN channels,13,13
ARXIV:2503.24077,Dust in the wind of outbursting young stars,1,1
